id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
368952,Small house,746396,Madeleine,,Skarpnäcks,59.24729,18.17809,Entire home/apt,362,1,18,2017-05-03,0.20,2,62
370744,charming spot at famous Södermalm,1355847,Lina,,Södermalms,59.31409,18.05785,Entire home/apt,1996,2,11,2017-08-02,0.27,2,0
385701,"Terrace house in Stockholm, Farsta",1930434,Alex,,Farsta,59.25072,18.0961,Entire home/apt,792,7,7,2017-08-02,0.14,1,0
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26377,18.02449,Private room,352,1,20,2019-08-31,0.22,1,329
442837,Modern single room in Stockholm with Wi-fi,2200827,Jo,,Hägersten-Liljeholmens,59.30914,18.02386,Private room,558,2,95,2019-09-21,1.06,1,269
444252,Studio Apartment,2206725,Christopher,,Norrmalms,59.34152,18.06156,Entire home/apt,724,100,2,2019-05-24,0.23,2,358
448259,One single room conveniently nr3,1361093,Ali,,Rinkeby-Tensta,59.38731,17.92349,Private room,166,60,7,2019-06-13,0.09,2,270
451155,Spacious house in Stockholm,2240860,Malin,,Enskede-Årsta-Vantörs,59.28021,18.05355,Entire home/apt,1497,3,23,2019-01-05,0.27,1,266
453692,Bright Apartment in Stockholm,1868675,Lovisa,,Södermalms,59.31599,18.03458,Entire home/apt,998,3,22,2018-09-23,0.24,1,31
472015,Lovely big apt in SOFO  balcony ,1578681,Lotta,,Södermalms,59.31331,18.07414,Entire home/apt,2055,5,6,2013-07-30,0.07,1,244
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,,Södermalms,59.3144,18.08311,Private room,479,3,44,2017-06-29,0.49,1,179
478105,• ARTISTIC PENTHOUSE NEAR CITY/long & short term •,1756346,Christian,,Hägersten-Liljeholmens,59.30143,17.99248,Entire home/apt,1194,6,31,2018-11-24,0.40,1,249
494569,18min by subway from the Citycenter,2443169,Andrew,,Skarpnäcks,59.26856,18.13531,Entire home/apt,802,3,2,2018-02-28,0.03,1,210
507316,"Central Stockholm, 5th floor 102 m2",2500394,Paul,,Norrmalms,59.34961,18.05715,Entire home/apt,1399,7,3,2014-08-18,0.03,1,0
